"","open.date","exp.month","strikes","init.cred","float.profit","cal.days.open","close.date"
"1",2010-01-04,"Mar","510, 530, 710, 720",-2.7,1.775,67,2010-03-12
"2",2010-02-02,"Apr","500, 520, 680, 690",-2.65,0.3,43,2010-03-17
"3",2010-06-24,"Aug","490, 500, 720, 730",-1.925,1.725,39,2010-08-02
"4",2010-07-07,"Sep","450, 470, 700, 710",-2.675,2.875,35,2010-08-11
"5",2010-08-13,"Oct","470, 480, 690, 700",-2.15,-2.825,56,2010-10-08
"6",2010-10-06,"Dec","540, 550, 770, 780",-2.15,2.1,12,2010-10-18
"7",2010-09-17,"Nov","510, 530, 730, 740",-2.625,-2.275,48,2010-11-04
"8",2010-10-18,"Dec","570, 590, 790, 800",-2.45,0.975000000000001,53,2010-12-10
"9",2010-11-08,"Jan","600, 620, 820, 830",-2.6,2.425,60,2011-01-07
"10",2010-12-07,"Feb","620, 650, 850, 860",-3.475,3.325,31,2011-01-07
"11",2011-01-03,"Mar","645, 670, 890, 900",-2.85,2.65,35,2011-02-07
"12",2011-01-31,"Apr","630, 650, 870, 880",-2.7,2.55,25,2011-02-25
"13",2011-03-09,"May","660, 680, 920, 930",-2.7,2.575,30,2011-04-08
"14",2011-04-04,"Jun","700, 725, 930, 940",-3.175,3,52,2011-05-26
"15",2011-05-02,"Jul","710, 730, 940, 950",-2.875,2.7,58,2011-06-29
"16",2011-06-27,"Aug","670, 690, 880, 890",-2.3,-9.32500000000001,42,2011-08-08
"17",2011-07-18,"Sep","675, 695, 895, 905",-2.65,-9,21,2011-08-08
"18",2011-09-19,"Nov","500, 530, 805, 820",-4.25,4.325,35,2011-10-24
"19",2011-11-17,"Jan","530, 540, 830, 850",-3.55,3.65,26,2011-12-13
"20",2012-01-05,"Mar","590, 600, 845, 860",-2.5,2.35,22,2012-01-27
"21",2012-02-06,"Apr","670, 700, 910, 920",-3.65,3.3,46,2012-03-23
"22",2012-03-05,"May","640, 670, 890, 900",-3.125,3.1,18,2012-03-23
"23",2012-04-03,"Jun","690, 710, 920, 930",-2.45,2.25,66,2012-06-08
"24",2012-05-07,"Jul","650, 670, 880, 890",-2.625,2.725,53,2012-06-29
"25",2012-06-05,"Aug","580, 600, 840, 850",-2.8,2.675,48,2012-07-23
"26",2012-07-23,"Sep","650, 670, 855, 860",-2.025,1.85,35,2012-08-27
"27",2012-08-23,"Oct","690, 705, 870, 880",-2.15,1.95,47,2012-10-09
"28",2012-09-04,"Nov","680, 700, 900, 910",-2.6,2.325,44,2012-10-18
"29",2012-10-08,"Dec","720, 740, 910, 920",-2.875,2.6,52,2012-11-29
"30",2012-11-05,"Jan","690, 710, 890, 900",-2.6,1.125,67,2013-01-11
"31",2012-12-04,"Feb","700, 720, 895, 900",-2.3,-0.525000000000001,49,2013-01-22
"32",2012-12-31,"Mar","720, 740, 925, 935",-2.7,-1.075,46,2013-02-15
"33",2013-02-04,"Apr","780, 800, 970, 980",-2.625,2.375,57,2013-04-02
"34",2013-03-19,"May","840, 855, 1005, 1010",-1.7,1.55,48,2013-05-06
"35",2013-06-04,"Aug","830, 860, 1070, 1080",-3.625,3.35,64,2013-08-07
"36",2013-07-23,"Sep","940, 960, 1120, 1130",-2.825,2.65,49,2013-09-10
"37",2013-08-06,"Oct","910, 940, 1130, 1140",-3.7,3.325,63,2013-10-08
"38",2013-09-24,"Nov","950, 970, 1150, 1160",-2.3,2.075,38,2013-11-01
"39",2013-10-07,"Dec","890, 920, 1160, 1180",-4.5,4.5,43,2013-11-19
"40",2013-12-09,"Feb","980, 1010, 1220, 1230",-3.575,3.2,60,2014-02-07
"41",2014-03-13,"May","1010, 1040, 1270, 1280",-3.325,3.125,57,2014-05-09
"42",2014-05-05,"Jul","960, 990, 1220, 1230",-3.425,3.325,64,2014-07-08
"43",2014-06-25,"Aug","1060, 1080, 1250, 1260",-2.725,2.2,44,2014-08-08
"44",2014-07-17,"Sep","980, 1000, 1220, 1240",-4.05,3.65,48,2014-09-03
"45",2014-08-05,"Oct","940, 970, 1220, 1230",-3.475,3.325,35,2014-09-09
"46",2014-09-08,"Nov","1020, 1040, 1260, 1270",-2.6,0.250000000000001,116,2015-01-02
"47",2015-01-05,"Mar","980, 1010, 1290, 1310",-4.75,4.5,49,2015-02-23
"48",2015-02-26,"Apr","1110, 1130, 1310, 1320",-2.4,2.175,39,2015-04-06
"49",2015-03-02,"May","1080, 1110, 1330, 1340",-3.375,3.15,56,2015-04-27
"50",2015-04-14,"Jun","1110, 1140, 1350, 1360",-3.475,3.225,50,2015-06-03
"51",2015-05-26,"Jul","1110, 1130, 1310, 1320",-2.575,2.3,41,2015-07-06
"52",2015-06-08,"Aug","1090, 1110, 1350, 1360",-2.5,2.225,44,2015-07-22
"53",2015-07-07,"Sep","1070, 1100, 1350, 1360",-3.425,2.125,66,2015-09-11
"54",2015-08-07,"Oct","1040, 1070, 1300, 1310",-3.3,3.075,62,2015-10-08
"55",2015-09-23,"Nov","960, 990, 1230, 1240",-3.35,3.025,37,2015-10-30
"56",2015-12-14,"Feb","940, 970, 1210, 1230",-4.825,-3.125,37,2016-01-20
"57",2016-02-11,"Apr","750, 780, 1060, 1080",-4.8,-5.175,20,2016-03-02
"58",2016-06-13,"Aug","970, 1000, 1250, 1260",-3.45,3.15,52,2016-08-04
"59",2016-07-28,"Sep","1090, 1110, 1290, 1300",-2.3,2.05,36,2016-09-02
"60",2016-08-10,"Oct","1070, 1090, 1310, 1320",-2.6,2.425,50,2016-09-29
"61",2016-09-06,"Nov","1090, 1110, 1350, 1360",-2.45,2.425,64,2016-11-09
"62",2016-11-08,"Jan","1020, 1050, 1290, 1310",-4.4,-7.25,6,2016-11-14
"63",2016-10-14,"Dec","1040, 1070, 1310, 1320",-3.5,-1.775,34,2016-11-17
